Mata Pelajaran / Paket,Soal,Opsi A,Opsi B,Opsi C,Opsi D,Opsi E,Kunci Jawaban (A/B/C/D/E),Pembahasan
B.Indo - Bantul,15. Manakah peristiwa dalam cerita yang relevan dengan kehidupan sehari-hari? (Benar/Salah),A. Rasa gugup saat tampil adalah hal wajar.,B. Seharusnya Sena tidak mudah menerima bantuan musuh.,C. Tindakan Fajar menunjukkan sikap peduli diutamakan.,,,,
B.Indo - Bantul,16. Kata istilah bidang sejarah yang tepat berdasarkan teks 'Goa Selarong' adalah...,1. perang,2. kolonial,3. gerilya,4. bangsa,,,
B.Indo - Bantul,17. Pernyataan yang sesuai dengan kondisi Goa Selarong saat ini adalah (Benar/Salah),1. Menjadi salah satu markas Diponegoro.,2. Dilengkapi fasilitas area parkir dan warung makan.,3. Sering dikunjungi pelajar untuk belajar di luar kelas.,,,,
B.Indo - Bantul,18. Pola pengembangan paragraf kedua teks 'Goa Selarong' adalah....,A. urutan waktu,B. sebab akibat,C. urutan ruang,D. perbandingan,,,
B.Indo - Bantul,"19. Berdasarkan teks 'Jam Koma', kondisi kelelahan dan menurunnya konsentrasi menunjuk pada....",A. penurunan prestasi akademik,B. dampak penggunaan gawai,C. peristiwa ngantuk di kelas,D. fenomena jam koma,,,
B.Indo - Bantul,20. Penyebab terjadinya fenomena Jam Koma pada pelajar adalah...,1. Siswa menunjukkan perilaku mengantuk di kelas.,2. Guru selalu menggunakan metode bervariasi.,3. Jadwal sangat padat tanpa jeda istirahat cukup.,4. Penggunaan gawai hingga larut malam.,,,
B.Indo - Bantul,21. Relevansi isi teks Jam Koma dengan kehidupan sehari-hari (Benar/Salah),1. Mengatur waktu tidur membantu fokus.,2. Hanya disebabkan jadwal siang hari.,3. Metode bervariasi membuat semangat.,,,,
B.Indo - Bantul,22. Penggunaan istilah bidang kesehatan yang tidak tepat dalam teks 'Gaya Hidup Sehat' adalah....,A. Kata nutrisi pada paragraf 2.,B. Kata imunitas pada paragraf 2.,C. Kata metabolisme pada paragraf 3.,D. Kata biologis pada paragraf 5.,,,
B.Indo - Bantul,23. Gagasan yang mendukung bahwa nutrisi sangat penting bagi tubuh remaja adalah....,A. Gaya hidup sehat saling berkaitan.,B. Makanan bergizi berfungsi penyokong energi dan pelindung.,C. Remaja disarankan membatasi makanan cepat saji.,D. Ikan dan telur sumber protein mudah ditemukan.,,,
B.Indo - Bantul,24. Mengapa judul dalam teks tersebut sudah sesuai dengan isi teks?,"A. Merangkum berbagai pilar kesehatan fisik, istirahat, mental.",B. Memaparkan rincian jenis makanan bergizi.,C. Menekankan dampak negatif di masa depan.,D. Menyajikan solusi praktis mengatasi gangguan konsentrasi.,,,
B.Indo - Bantul,25. Fakta dalam teks 'Ulasan Konser NDX' adalah...,1. Konser berlangsung di Stadion Mandala Krida.,2. Penampilan NDX dinilai sangat energik.,3. Lagu yang dibawakan Nemen dan Sayang.,4. Konser memberikan kesan positif layak diapresiasi.,,,
B.Indo - Bantul,26. Simpulan yang paling tepat mengenai jalannya acara tersebut adalah...,A. Hanya dinikmati warga Yogyakarta.,B. Penampilan kurang maksimal karena interaksi kurang.,"C. Walau padat di depan, secara keseluruhan berkesan positif.",D. Konser dianggap gagal karena ribuan penonton tidak puas.,,,
B.Indo - Bantul,27. Penggunaan konjungsi yang tidak tepat pada paragraf keempat adalah....,A. namun,B. sehingga,C. karena,D. dan,,,
B.Indo - Bantul,28. Kalimat yang menunjukkan latar waktu dalam teks 'Chronos' (Benar/Salah),1. Cahaya temaram menyelinap di antara sela-sela jendela...,"2. Saat itu, gunung dapat runtuh dalam sehari...","3. Dengan keberanian dan keikhlasan, Arka...",,,,
B.Indo - Bantul,29. Nilai-nilai yang dapat dipelajari dari tokoh Arka adalah....,1. Kesadaran tanggung jawab memulihkan keseimbangan.,2. Keinginan mengumpulkan benda antik.,3. Pentingnya keberanian dan ketulusan hati menolong.,4. Keharusan memiliki kekuatan fisik besar.,,,
B.Indo - Bantul,30. Pengaruh penggunaan benda jam kecil terhadap kekuatan alur cerita (Benar/Salah),1. Memperlemah alur karena membingungkan.,2. Bukti fisik memperkuat resolusi dampak nyata.,3. Simbol yang memperkuat tema penutup mendalam.,,,,
B.Indo - Kulonprogo,1. Makna kata antioksidan pada paragraf keempat kalimat ketiga adalah,A. Zat aditif untuk mencegah oksidasi...,B. Zat dari luar tubuh seperti asap rokok...,C. Senyawa dari dalam tubuh sisa metabolisme...,D. Sifat senyawa yang mampu melindungi sel dari radikal bebas...,,,
B.Indo - Kulonprogo,2. Fakta atau opini untuk pernyataan (Fakta/Opini),A. Telur rebus mengandung protein lengkap...,B. Menurut Journal of Clinical Nutrition...,C. Kombinasi protein dan lemak membantu...,,,,
B.Indo - Kulonprogo,3. Kesimpulan dari teks tersebut adalah...,A. Mengonsumsi telur rebus sangat penting...,B. Membiasakan makan telur rebus dapat mengelola energi.,C. Telur membantu menjaga daya tahan tubuh...,D. Telur rebus praktis dan mendukung kesehatan tubuh...,,,
B.Indo - Kulonprogo,4. Bagan yang sesuai teks Lumba-lumba adalah...,A. Kecerdasan -> Sosial -> Komunikasi -> Kecepatan -> Kepopuleran,B. Kecerdasan -> Sosial -> Komunikasi -> Keahlian -> Pelestarian,C. Keterkenalan -> Sosial -> Komunikasi -> Keahlian -> Kepopuleran,D. Kecerdasan -> Sosial -> Suara -> Tarik -> Pelestarian,,,
B.Indo - Kulonprogo,5. Gagasan pendukung paragraf pertama adalah...,A. Kecerdasan lumba-lumba yang luar biasa.,B. Lumba-lumba memiliki otak yang sangat cerdas.,C. Mereka memiliki kemampuan untuk memahami perintah.,D. Lumba-lumba sangat terkenal untuk atraksi.,,,
B.Indo - Kulonprogo,6. Pernyataan yang sesuai dengan teks tersebut adalah...,1. Taman hiburan memanfaatkan atraksi lumba-lumba.,2. Kemampuan memahami saat ada pelatihnya.,3. Interaksi sosial dengan gerakan sinkron menakjubkan.,4. Bahasa kompleks menyulitkan pemahaman satu sama lain.,,,
B.Indo - Kulonprogo,7. Komentar yang sesuai dengan kutipan teks adab adalah...,"A. Ilmu di tangan orang tidak beretika berbahaya, solusinya nomorsatukan ilmu.",B. Tanpa adab proses transfer ilmu tidak efektif/harmonis.,"C. Adab diperoleh lewat studi, ilmu lewat pelatihan.",D. Ilmu tinggi minim adab pasti disalahgunakan merusak.,,,
B.Indo - Kulonprogo,8. Karakter tokoh aku yang pantang menyerah dan bersyukur disampaikan melalui...,A. kebiasaan tokoh,B. dialog antartokoh,C. sikap dan perbuatan tokoh,D. diceritakan langsung oleh pengarang,,,
B.Indo - Kulonprogo,9. Nilai kehidupan yang terdapat dalam kutipan cerpen tersebut bernomor...,A. (1) dan (3),B. (1) dan (4),C. (2) dan (3),D. (2) dan (4),,,
B.Indo - Kulonprogo,10. Objek atau latar yang paling mungkin dalam kutipan cerpen adalah...,A. di sungai,B. di kampung,C. di pegunungan,D. di tepi sungai,,,
B.Indo - Kulonprogo,11. Akibat konflik yang dialami tokoh Mia adalah...,A. Terbiasa dengan pertengkaran.,B. Menyadari bakat musiknya sebagai sumber kekuatan.,C. Memilih menjauh dari orang tuanya.,D. Merasa konflik wajar dan tidak perlu diselesaikan.,,,
B.Indo - Kulonprogo,12. Struktur kutipan cerita pendek tersebut (Benar/Salah),A. Paragraf pertama merupakan orientasi.,"B. Paragraf 2,3,4 merupakan komplikasi.",C. Paragraf terakhir merupakan resolusi.,,,,
B.Indo - Kulonprogo,13. Kutipan cerita pendek tersebut menggunakan sudut pandang...,A. orang pertama pelaku utama,B. orang pertama pelaku sampingan,C. orang ketiga sebagai pengamat,D. orang ketiga serba tahu,,,
B.Indo - Kulonprogo,14. Urutan prosedur mengirim email yang tepat adalah...,"A. (3), (2), (1), (5), (6), (4)","B. (3), (5), (2), (1), (6), (4)","C. (3), (1), (2), (5), (6), (4)","D. (3), (6), (2), (5), (1), (4)",,,
B.Indo - Kulonprogo,15. Hubungan logis antarparagraf dalam teks berita KRI Prabu Siliwangi adalah...,"A. Paragraf 1 umum, paragraf 2 spesifik.","B. Paragraf 1 kesimpulan, 2 pendapat pribadi.","C. Paragraf 4 sebab, 5 akibat.","D. Paragraf 4 akibat, 5 sebab.",,,
B.Indo - Kulonprogo,16. Konjungsi kronologis pada paragraf 7 sampai 9 adalah...,1. sejak,2. setelah,3. kemudian,4. serta,,,
B.Indo - Kulonprogo,17. Unsur berita kutipan teks tersebut (Sesuai/Tidak),A. Paragraf ke-1 memuat unsur apa dan bagaimana.,"B. Paragraf ke-2 memuat unsur apa, siapa, dan kapan.","C. Paragraf ke-3 memuat unsur apa, di mana, kapan, bagaimana.",,,,
B.Indo - Kulonprogo,18. Larik 'Cahaya hidup-Malaikat pelindung' menggambarkan ibu sebagai sosok yang...,A. memberikan ketenangan dan rasa aman.,B. memiliki kekuatan mengatur anak.,C. mengharapkan balasan pengorbanan.,D. berperan pusat perhatian keluarga.,,,
B.Indo - Kulonprogo,19. Tema puisi 'Ibu' tersebut adalah...,A. penyesalan seorang anak.,B. perjuangan hidup ibu yang hebat.,C. rasa sayang dan rasa terima kasih kepada ibu.,D. kesedihan hati ibu.,,,
B.Indo - Kulonprogo,20. Amanat penyair (Sesuai/Tidak Sesuai),A. Anak menuruti semua keinginan ibu.,B. Anak menghargai dan berterima kasih pengorbanan ibu.,C. Anak menyayangi dan menghormati ibu.,,,,
B.Indo - Kulonprogo,21. Abrasi di pantai diprediksi menyebabkan...,1. Nelayan sulit menjangkau pantai.,2. Kehilangan lahan pekarangan/tambak.,3. Bangunan/akses jalan nelayan rusak.,4. Kehilangan mata pencaharian.,,,
B.Indo - Kulonprogo,22. Relevansi peristiwa abrasi dengan kehidupan sehari-hari adalah...,A. Pencegahan mustahil.,B. Hanya merusak pasir tidak bangunan.,C. Dampak besar tanpa upaya sesuai yang dirasakan.,D. Informasi pencegahan penting bagi masyarakat pesisir.,,,
B.Indo - Kulonprogo,23. Penggunaan kata depan pada teks abrasi (Tepat/Tidak),A. Penggunaan 'di' pada kalimat 1 tepat.,B. Penulisan 'di daerah' dipisah karena kata depan.,C. Kata oleh tidak tepat seharusnya dari.,,,,
B.Indo - Kulonprogo,24. Makna ungkapan 'bagai pelita membakar diri' adalah...,A. pantang menyerah demi kebenaran,B. ikhlas menerangi orang membutuhkan,C. berjuang mendapatkan kebaikan,D. rela berkorban demi kebaikan orang lain,,,
B.Indo - Kulonprogo,25. Relevansi cerita Luna dan Stroberi dengan kehidupan sehari-hari...,A. Membuat stroberi warna pelangi era digital.,B. Menularkan keterampilan pewarnaan stroberi.,C. Keikhlasan berbagi rezeki patut diterapkan.,D. Rela tidak dapat penghasilan ciri masyarakat saat ini.,,,
B.Indo - Kulonprogo,26. Penilaian teks ulasan film (Tepat/Tidak),A. Data identitas cukup tapi tidak ada info jenis film.,B. Tidak terdapat penjelasan masalah tokoh.,C. Tidak dijelaskan kelemahannya kurang objektif.,,,,
B.Indo - Kulonprogo,27. Penilaian kalimat: Penggunaan berbagai kata-kata yang tepat dan kostum...,A. Kata 'Penggunaan' diganti 'Menggunakan'.,B. Kata 'berbagai' tidak efektif dihilangkan.,C. Kata 'dan' diganti 'atau'.,D. Kata 'bagus' diganti 'mahal'.,,,
B.Indo - Kulonprogo,28. Penilaian teks prosedur Keripik Pisang...,1. Lengkap tapi tak ada langkah kerja.,"2. Pembuka 2 paragraf, penutup tidak ada.","3. Bahan dijelaskan, alat tidak.",4. Bahan lengkap tapi tidak disertai ukuran.,,,
B.Indo - Kulonprogo,29. Tanggapan yang tepat terhadap teks prosedur (Tepat/Tidak),A. Perlu penjelasan cara membuat aneka rasa sesuai judul.,B. Akan menghasilkan keripik rasa asin saja (bumbu garam).,C. Langkah tidak jelas dan tidak imperatif.,,,,
B.Indo - Kulonprogo,30. Tindak lanjut pembaca setelah membaca teks tersebut adalah...,A. membuat jumlah besar tanpa batas,B. mencoba mempraktikkan langkah-langkah,C. membuat usaha omset langsung besar,D. mewawancarai penjual keripik,,,
B.Indo - Kota Yogyakarta,1. Kosakata yang tepat menggambarkan letak Museum Sonobudoyo?,1. Dekat Titik Nol Kilometer.,2. Dalam kawasan Malioboro.,3. Barat laut Alun-Alun Utara.,4. Seberang Keraton Yogyakarta.,,,
B.Indo - Kota Yogyakarta,2. Bagan yang tepat menggambarkan informasi penting dalam teks Museum Sonobudoyo?,A. Arsitektur bergaya Bali...,B. Arsitektur bergaya Madura...,"C. Arsitektur bergaya Jawa, 40.000 koleksi tematik, wayang kulit...",D. Arsitektur bergaya Arab...,,,
B.Indo - Kota Yogyakarta,3. Mengapa Museum Sonobudoyo dijuluki Permata Budaya?,A. Keberagaman koleksi perkembangan Jawa.,B. Letak strategis jantung kota.,C. Merepresentasikan seni dan jati diri masyarakat Jawa.,D. Latar sejarah menciptakan magis khas.,,,
B.Indo - Kota Yogyakarta,4. Pendapat tentang gaya bahasa pada teks (Benar/Salah),A. Ninik lugas sederhana.,B. Pinta majas personifikasi.,C. Bram ungkapan permata budaya kata kias.,,,,
B.Indo - Kota Yogyakarta,5. Bahan yang digunakan untuk mencangkok berdasarkan teks adalah...,"A. batang mangga, tanah gembur, pupuk, sabut kelapa","B. bibit mangga, campuran tanah, pupuk, air","C. campuran tanah gembur, pupuk, plastik bening","D. batang sehat, air, pupuk, pisau, polybag",,,
B.Indo - Kota Yogyakarta,6. Tujuan media cangkokan tidak boleh terpapar sinar matahari?,A. Batang tetap kesat.,B. Akar cepat tumbuh.,C. Media tetap lembap.,D. Terbebas dari hama.,,,
B.Indo - Kota Yogyakarta,7. Mengapa prosedur mudah diikuti Dina? (Benar/Salah),A. Tahapan disusun secara urut.,B. Bahan disertai ukuran yang rinci.,C. Alat dan bahan dijelaskan terpisah.,,,,
B.Indo - Kota Yogyakarta,8. Upaya apa yang dapat dilakukan untuk memperkuat ketahanan pangan?,A. Mendorong produksi sumber daya alam.,B. Meningkatkan pengetahuan generasi muda di bidang pangan.,C. Menguatkan kemampuan membaca menulis.,D. Mengasah kemampuan berpikir kritis.,,,
B.Indo - Kota Yogyakarta,9. Bagan yang paling sesuai teks berita Sekolah Garuda...,"A. Keseimbangan akses, Pembangunan 20 baru 80 transformasi...","B. Kemdiktisaintek, Program Nomor 4...","C. Program mewujudkan keseimbangan, Kemdiktisaintek...","D. Program Cepat No 4, Pembangunan 20 baru 80 transformasi...",,,
B.Indo - Kota Yogyakarta,10. Perbedaan informasi pada kedua teks tentang program pemerintah...,1. tujuan program,2. tahun peristiwa,3. manfaat program,4. pihak penyelenggara,,,
B.Indo - Kota Yogyakarta,11. Kaidah kebahasaan kedua teks (Sesuai/Tidak),A. Keterangan waktu.,B. Kalimat langsung menambah keakuratan.,C. Kata teknis bidang literasi.,,,,
B.Indo - Kota Yogyakarta,12. Makna kata omzet dalam teks Rojali Rohana...,1. total pendapatan penjualan produk,2. jumlah modal penjualan,3. total keuntungan belanja,4. jumlah uang hasil penjualan,,,
B.Indo - Kota Yogyakarta,13. Mengapa masyarakat mengalami perubahan pola konsumsi pascapandemi?,A. Enggan membeli langsung fasilitas kurang.,B. Perbedaan harga besar belanja daring vs langsung.,C. Harga bahan pokok terus meningkat enggan belanja.,D. Inflasi harga memaksa membeli daring.,,,
B.Indo - Kota Yogyakarta,14. Teks disajikan runtut (Benar/Salah),A. Diawali penjelasan umum fenomena.,B. Faktor penyebab dijelaskan kronologi.,C. Akhir berisi riset solusi fenomena.,,,,
B.Indo - Kota Yogyakarta,15. Pernyataan mendukung usaha kopi keliling sedang tren...,A. Peluang usaha anak muda modal kecil.,B. Konsep penjual racikan di kedai.,C. Keterbatasan tempat duduk tantangan.,D. Dampak budaya nongkrong lupa waktu.,,,
B.Indo - Kota Yogyakarta,16. Daftar kata menggambarkan laundry self service...,"A. Mencuci pakaian, higienis, bantuan pegawai.","B. Cuci otomatis, bantuan karyawan, lapangan kerja.","C. Lapangan kerja, praktis, gaya hidup.","D. Inovasi populer, cuci otomatis, layanan mandiri.",,,
B.Indo - Kota Yogyakarta,17. Kelebihan laundry self service...,1. Meminimalisasi kebutuhan tenaga.,2. Membuka peluang teknisi.,3. Mengurangi kesalahan pengoperasian.,4. Kenyamanan pelanggan bersantai saat mencuci.,,,
B.Indo - Kota Yogyakarta,18. Teks 1 lebih akurat dari Teks 2 (Benar/Salah),A. Penilaian pribadi penulis disertai data.,B. Banyak memuat asumsi membujuk pembaca.,C. Relevan untuk semua usia.,,,,
B.Indo - Kota Yogyakarta,19. Kosakata menggambarkan latar suasana khusyuk...,1. bait 1 larik 3,2. bait 2 larik 2,3. bait 7 larik 1,4. bait 8 larik 3,,,
B.Indo - Kota Yogyakarta,20. Hal yang dapat dipelajari dari puisi 'Doa'...,A. Semangat menjalani takdir!,B. Percayalah pada Tuhan!,C. Berdoalah agar tidak tersesat!,D. Dekatkanlah diri pada Tuhan!,,,
B.Indo - Kota Yogyakarta,21. Makna kias 'tinggal kerdip lilin di kelam sunyi'...,A. Keimanan tinggal sedikit di hati.,B. Kegelapan yang membuat takut.,C. Keputusasaan karena masa lalu.,D. Kehancuran membuat kehilangan semangat.,,,
B.Indo - Kota Yogyakarta,22. Pendapat menggambarkan penyerahan hamba kepada Tuhan (Sesuai/Tidak),A. Helmi memotivasi berbuat kebaikan.,B. Abram menyesal perbuatan.,C. Rida kepasrahan diri pada Tuhan.,,,,
B.Indo - Kota Yogyakarta,23. Hans akhirnya memilih bersekolah di SMK karena...,A. merasa kasihan kepada Ibunya,B. terpaksa memenuhi keinginan Bapak,C. mendapat beasiswa dari perguruan tinggi,D. ingin membuat bengkel Bapak berkembang,,,
B.Indo - Kota Yogyakarta,24. Bagan tepat peristiwa penting dalam cerita Hans...,A. Hans ingin SMA -> Ibu tidak setuju -> Nasihat SMK -> SMK & berhasil,B. Hans ingin SMA -> Ibu menasihati -> Ibu ketidaksetujuan Bapak -> Terpaksa SMK,C. Hans ingin SMA -> Nasihat SMK -> Ibu ketidaksetujuan Bapak -> Terpaksa SMK,D. Hans ingin SMA -> Nasihat SMK -> Ibu ketidaksetujuan -> SMK & berhasil,,,
B.Indo - Kota Yogyakarta,25. Perubahan sikap Hans setelah masuk SMK...,1. Gigih mencari beasiswa.,2. Cinta dengan bidang pekerjaan.,3. Tekun mempelajari otomotif.,4. Semangat melanjutkan perguruan tinggi.,,,
B.Indo - Kota Yogyakarta,26. Respons pembaca setelah Hans tidak dapat melanjutkan SMA (Sesuai/Tidak),A. Sedih tidak mewujudkan keinginan.,B. Kecewa tidak bisa menjadi montir.,C. Kasihan harus menuruti ayah.,,,,
B.Indo - Kota Yogyakarta,27. Apa yang dilakukan Danu ketika melawan Bayangan Kegelapan?,A. Memanggil hewan-hewan hutan.,B. Menciptakan jalur sinar di langit.,C. Menembakkan panah cahaya.,D. Membaca mantra pengunci.,,,
B.Indo - Kota Yogyakarta,28. Kondisi Negeri Arunika jika akhir pertarungan tidak bersatu?,A. Menjadi sunyi tanpa warna.,B. Bayangan Kegelapan menguasai langit.,C. Kristal cahaya retak.,D. Cahaya tetap bersinar tanpa kekuatan.,,,
B.Indo - Kota Yogyakarta,29. Penggunaan kata 'jantung kehidupan' untuk kristal cahaya bertujuan...,1. Menguatkan peran kristal penopang kehidupan.,2. Pusat keberlangsungan kesejahteraan.,3. Hubungan emosional memberi harapan.,4. Lambang kebanggaan identitas.,,,
B.Indo - Kota Yogyakarta,30. Contoh kejadian sehari-hari serupa aksi Penjaga Bintang (Benar/Salah),A. Redy mengajak kerja sama tugas.,B. Rafi mengerjakan tugas teman semua.,C. Septi dan teman saling mendukung lomba.,,,,
Matematika - Bantul,"1. Diberikan beberapa bilangan pecahan: 1,65 ; 7/5 ; 175% ; 1 3/5. Urutan terkecil ke terbesar adalah","A. 1 3/5 ; 1,65 ; 7/5 ; 175%","B. 7/5 ; 1 3/5 ; 1,65 ; 175%","C. 7/5 ; 1 3/5 ; 1,65 ; 175%","D. 7/5 ; 1 3/5 ; 175% ; 1,65",,,
Matematika - Bantul,"2. Olimpiade Skor: Benar(5), Salah(-2), Kosong(0). Candra 41B 3K; Zakki 39B 6K; Aan 42B 2K; Salwa 40B 4K. Pernyataan benar...",1. Aan skor 198,2. Candra lebih tinggi dari Aan,3. Selisih Candra Salwa 6,4. Zakki di bawah Salwa,,,
Matematika - Bantul,"3. Harga baju diskon: Toko Salwa 50%, Jenna 40%+10%, Alif 30%+20% dari Rp120.000 (Benar/Salah)",A. Jenna = Rp64.800,B. Salwa = Rp50.000,C. Alif paling mahal,,,,
Matematika - Bantul,"4. Segitiga ABC keliling akar(512). AB=4akar(2), AC=akar(50). Panjang BC adalah...",A. 6 akar 2,B. 7 akar 2,C. 8 akar 2,D. 9 akar 2,,,
Matematika - Bantul,"5. Taksiran pesanan barang seminggu dalam ribuan: 67210, 56910, 25315, 15860, 67456, 23678, 32506",A. 286.000,B. 288.000,C. 289.000,D. 290.000,,,
Matematika - Bantul,"6. 3 bilangan: 48, 60, 72. Pernyataan benar...",1. Faktorisasi 60 = 2^2 x 3 x 5,2. Faktorisasi 72 = 2^2 x 3,3. Faktor persekutuan = 2 x 3,4. FPB = 2^2 x 3,,,
Matematika - Bantul,"7. Jarak 60km. Waktu 06.00-07.30. Jika dipercepat 30 menit, kecepatan adalah...",A. 120 km/jam,B. 90 km/jam,C. 60 km/jam,D. 45 km/jam,,,
Matematika - Bantul,8. Berdasarkan denah rumah skala 1:100...,1. Keliling kamar tidur 1 pada gambar 15cm,2. Luas kamar 2 sebenarnya 14 m^2,3. Keliling teras depan 12cm,"4. Luas teras samping 4,5 m^2",,,
Matematika - Bantul,9. 5 orang + Pak Bimo (total 6) selesai 90 hari. Agar selesai 60 hari butuh tambahan pekerja...,A. 3 orang,B. 4 orang,C. 6 orang,D. 9 orang,,,
Matematika - Bantul,10. Pola segitiga... Pernyataan benar...,1. Segitiga merah pola ke-8 adalah 36,2. Segitiga putih pola ke-8 adalah 30,3. Jumlah pola ke-8 adalah 81,4. Selisih pola ke-8 adalah 8,,,
Matematika - Bantul,"11. Barisan aritmetika, U5=6, U11=24. (Benar/Salah)",A. Beda adalah 3,B. U32 adalah 88,C. Selisih U32 dan U11 adalah 63,,,,
Matematika - Bantul,"12. Baris kursi: 14, 16, 18,... ada 25 baris. Jumlah seluruh kursi...",A. 62 kursi,B. 475 kursi,C. 950 kursi,D. 1900 kursi,,,
Matematika - Bantul,13. Diketahui 3(2x-5) = 1/2 (x+3). Nilai 6x-1 adalah...,A. 3,B. 11,C. 17,D. 19,,,
Matematika - Bantul,"14. Kapasitas 8 kuintal. Kardus A(30kg), B(25kg). Sopir(85kg). Sudah isi 15 kardus A. Maks kardus B...",A. 9 kardus,B. 10 kardus,C. 11 kardus,D. 12 kardus,,,
Matematika - Bantul,15. 3kg salak + 5kg jeruk = 130.000. 4kg salak + 3kg jeruk = 100.000. Pernyataan...,1. Salak 12.000,2. Jeruk 20.000,3. 2kg salak + 2kg jeruk = 64.000,4. Harga jeruk dua kali harga salak,,,
